timestamp,message
1590424034471,"START RequestId: 5ee0e5c4-3a3d-4d70-b832-90431a0d0642 Version: $LATEST
"
1590424034472,"Received event: {""RequestType"": ""Create"", ""ServiceToken"": ""arn:aws:lambda:us-east-1:456096785454:function:cfst-1449-b13075b807303f1dd8be2616815-InitFunction-1X82Y2YTDEN38"", ""ResponseURL"": ""https://cloudformation-custom-resource-response-useast1.s3.amazonaws.com/arn%3Aaws%3Acloudformation%3Aus-east-1%3A456096785454%3Astack/cfst-1449-b13075b807303f1dd8be26168150520f/883e4970-9ea4-11ea-b1c5-120fbf0f0187%7CInitializeVPC%7C833f84e9-773a-4580-87fd-5c01a3b56966?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200525T162713Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Credential=AKIA6L7Q4OWTTDPGOFMG%2F20200525%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c713e5f5a1292986336d2b791950e1d3bea73354dceac3f08a4372c0afd1f481"", ""StackId"": ""arn:aws:cloudformation:us-east-1:456096785454:stack/cfst-1449-b13075b807303f1dd8be26168150520f/883e4970-9ea4-11ea-b1c5-120fbf0f0187"", ""RequestId"": ""833f84e9-773a-4580-87fd-5c01a3b56966"", ""LogicalResourceId"": ""InitializeVPC"", ""ResourceType"": ""Custom::InitFunction"", ""ResourceProperties"": {""ServiceToken"": ""arn:aws:lambda:us-east-1:456096785454:function:cfst-1449-b13075b807303f1dd8be2616815-InitFunction-1X82Y2YTDEN38""}}
"
1590424034472,"Creating default VPC
"
1590424036989,"{'Vpc': {'CidrBlock': '172.31.0.0/16', 'DhcpOptionsId': 'dopt-03c61a84e836841cb', 'State': 'pending', 'VpcId': 'vpc-0314fc9f33fe52f5b', 'OwnerId': '456096785454', 'InstanceTenancy': 'default', 'Ipv6CidrBlockAssociationSet': [], 'CidrBlockAssociationSet': [{'AssociationId': 'vpc-cidr-assoc-0a572960a46912169', 'CidrBlock': '172.31.0.0/16', 'CidrBlockState': {'State': 'associated'}}], 'IsDefault': True, 'Tags': []}, 'ResponseMetadata': {'RequestId': 'ccc31027-b052-4397-b9d7-37595677dae4', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'ccc31027-b052-4397-b9d7-37595677dae4', 'content-type': 'text/xml;charset=UTF-8', 'transfer-encoding': 'chunked', 'vary': 'accept-encoding', 'date': 'Mon, 25 May 2020 16:27:16 GMT', 'server': 'AmazonEC2'}, 'RetryAttempts': 0}}
"
1590424037008,"https://cloudformation-custom-resource-response-useast1.s3.amazonaws.com/arn%3Aaws%3Acloudformation%3Aus-east-1%3A456096785454%3Astack/cfst-1449-b13075b807303f1dd8be26168150520f/883e4970-9ea4-11ea-b1c5-120fbf0f0187%7CInitializeVPC%7C833f84e9-773a-4580-87fd-5c01a3b56966?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200525T162713Z&X-Amz-SignedHeaders=host&X-Amz-Expires=7200&X-Amz-Credential=AKIA6L7Q4OWTTDPGOFMG%2F20200525%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c713e5f5a1292986336d2b791950e1d3bea73354dceac3f08a4372c0afd1f481
"
1590424037008,"Response body:
"
1590424037008,"{""Status"": ""SUCCESS"", ""Reason"": ""See the details in CloudWatch Log Stream: 2020/05/25/[$LATEST]a64f831305e24177a374f4b67b465dd2"", ""PhysicalResourceId"": ""2020/05/25/[$LATEST]a64f831305e24177a374f4b67b465dd2"", ""StackId"": ""arn:aws:cloudformation:us-east-1:456096785454:stack/cfst-1449-b13075b807303f1dd8be26168150520f/883e4970-9ea4-11ea-b1c5-120fbf0f0187"", ""RequestId"": ""833f84e9-773a-4580-87fd-5c01a3b56966"", ""LogicalResourceId"": ""InitializeVPC"", ""NoEcho"": false, ""Data"": {""Data"": {""Vpc"": {""CidrBlock"": ""172.31.0.0/16"", ""DhcpOptionsId"": ""dopt-03c61a84e836841cb"", ""State"": ""pending"", ""VpcId"": ""vpc-0314fc9f33fe52f5b"", ""OwnerId"": ""456096785454"", ""InstanceTenancy"": ""default"", ""Ipv6CidrBlockAssociationSet"": [], ""CidrBlockAssociationSet"": [{""AssociationId"": ""vpc-cidr-assoc-0a572960a46912169"", ""CidrBlock"": ""172.31.0.0/16"", ""CidrBlockState"": {""State"": ""associated""}}], ""IsDefault"": true, ""Tags"": []}, ""ResponseMetadata"": {""RequestId"": ""ccc31027-b052-4397-b9d7-37595677dae4"", ""HTTPStatusCode"": 200, ""HTTPHeaders"": {""x-amzn-requestid"": ""ccc31027-b052-4397-b9d7-37595677dae4"", ""content-type"": ""text/xml;charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""vary"": ""accept-encoding"", ""date"": ""Mon, 25 May 2020 16:27:16 GMT"", ""server"": ""AmazonEC2""}, ""RetryAttempts"": 0}}}}
"
1590424037252,"Status code: 200
"
1590424037254,"END RequestId: 5ee0e5c4-3a3d-4d70-b832-90431a0d0642
"
1590424037254,"REPORT RequestId: 5ee0e5c4-3a3d-4d70-b832-90431a0d0642	Duration: 2782.81 ms	Billed Duration: 2800 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	Init Duration: 304.99 ms	
"
